,Name,Address,twd97E,twd97N,wgs84X,wgs84Y,類別,大類別,type
682,北港國小,新北市汐止區汐萬路二段333號前,315129.8037,2775833.908,121.645692,25.089387,公車站,交通便利設施,blue
683,鄉長路一段,鄉長路一段21號(向南),317089.7628,2774157.625,121.6650401,25.07416824,公車站,交通便利設施,blue
684,崇義高中(忠孝東路),汐止區忠孝東路517號東側(向南),317275.996,2774336.08,121.6668948,25.07577099,公車站,交通便利設施,blue
685,橋東,忠孝東路476號同向(向南),317203.4534,2774095.795,121.666164,25.073605,公車站,交通便利設施,blue
686,汐止後車站,忠孝東路295號同向(向西),317007.7646,2773555.491,121.664198,25.068736,公車站,交通便利設施,blue
687,秀峰高中(忠孝東路),忠孝東路225號右側(向南),316762.9511,2773277.698,121.661758,25.066239,公車站,交通便利設施,blue
688,汐止行政中心,地標同向(向西),316498.5995,2773114.793,121.65913,25.06478,公車站,交通便利設施,blue
689,汐止農會,新台五路二段220號同向(向西),316183.5855,2772953.309,121.656,25.063336,公車站,交通便利設施,blue
690,連興街口,新台五路一段141號同向(向西),315864.3512,2772807.653,121.652829,25.062035,公車站,交通便利設施,blue
691,東方科學園區,地標對向(向西),315500.5377,2772741.101,121.64922,25.06145,公車站,交通便利設施,blue
692,遠東世界中心,新台五路81號同向(向西),315191.4327,2772669.171,121.646153,25.060814,公車站,交通便利設施,blue
693,橫科,大同路一段4號對向(向西),312688.8432,2772022.295,121.62132,25.05508,公車站,交通便利設施,blue
694,烘內派出所,新北市汐止區汐萬路二段230號對面,315223.7625,2775706.307,121.6466174,25.088231,公車站,交通便利設施,blue
695,土巷口,新北市汐止區汐萬路二段114號對面,315390.1815,2775219.162,121.648244,25.083826,公車站,交通便利設施,blue
696,明園山莊,新北市汐止區汐萬路二段65號同向,315451.2473,2775075.343,121.6488425,25.082525,公車站,交通便利設施,blue
697,川口,新北市汐止區汐萬路一段401號前,315500.4516,2774706.714,121.6493127,25.079195,公車站,交通便利設施,blue
698,孝友別墅,新北市汐止區汐萬路一段357號前,315552.9189,2774560.085,121.6498258,25.077869,公車站,交通便利設施,blue
699,土地公廟,新北市汐止區汐萬路一段269號對面(向南),315633.9608,2774159.155,121.65061,25.074246,公車站,交通便利設施,blue
700,電力公司,新北市汐止區汐萬路一段236號同向,315733.7895,2774005.887,121.6515922,25.072858,公車站,交通便利設施,blue
701,江北社區,新北市汐止區汐萬路一段81號對面,316042.8306,2773684.153,121.65464,25.06994,公車站,交通便利設施,blue
702,江北橋頭,新北市汐止區汐萬路一段17號,316179.5633,2773408.112,121.655982,25.067442,公車站,交通便利設施,blue
703,汐止國中,大同路二段394號對向(向東),316460.6237,2773371.484,121.658766,25.067099,公車站,交通便利設施,blue
704,汐止,大同路二段535號同向(向東),316787.8437,2773592.518,121.66202,25.06908,公車站,交通便利設施,blue
705,摩天鎮,大同路三段611-5號同向(向南),318928.835,2774232.567,121.683273,25.074762,公車站,交通便利設施,blue
